Index,Fecha,EVI
1,01/2019,"0,273"
2,02/2019,"0,282"
3,03/2019,"0,318"
4,04/2019,"0,315"
5,05/2019,"0,201"
6,06/2019,"0,155"
7,07/2019,"0,145"
8,08/2019,"0,113"
9,09/2019,"0,102"
10,10/2019,"0,127"
11,11/2019,"0,165"
12,12/2019,"0,225"
13,01/2020,"0,142"
14,02/2020,"0,289"
15,03/2020,"0,33"
16,04/2020,"0,186"
17,05/2020,"0,142"
18,06/2020,"0,137"
19,07/2020,"0,101"
20,08/2020,"0,087"
21,09/2020,"0,08"
22,10/2020,"0,091"
23,11/2020,"0,139"
24,12/2020,"0,385"
25,01/2021,"0,414"
26,02/2021,"0,341"
27,03/2021,"0,234"
28,04/2021,"0,248"
29,05/2021,"0,204"
30,06/2021,"0,15"
31,07/2021,"0,111"
32,08/2021,"0,105"
33,09/2021,"0,117"
34,10/2021,"0,128"
35,11/2021,"0,198"
36,12/2021,"0,263"